Record No.,Date,Name of the student,UCID Number,Class,Mobile Number,Sanctioned Amount,Description of Scheme,Remark,clean_low,sentiment_label,month,year
274,2021-03-28,Malini Kohli,2409826887,EXTC,9876597498,155,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2021
275,2018-03-26,Prabha Kapoor,2011638686,CSE-DS,9876589190,668,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,3,2018
276,2020-07-26,Himesh Javdekar,2359762956,COMPS,9876546915,460,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,7,2020
277,2017-09-26,Juhi Mahto,2304466073,CSE-AIML,9876520868,1705,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,9,2017
278,2021-04-01,Aryabhatta Priyadarshini,2399594922,EXTC,9876573080,1235,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,4,2021
279,2022-11-09,Akanksha Sampla,2621581655,CSE-AIML,9876536521,1916,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,11,2022
280,2020-07-19,Keshav Kadam,2562207079,CSE-AIML,9876541416,510,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,7,2020
281,2018-04-21,Kunal Deo,2815985572,COMPS,9876563464,1768,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,4,2018
282,2017-04-16,Mrityunjay Rao,2627972349,COMPS,9876572669,1393,"Membership - IET, IEEE, CSI, ASM",Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,4,2017
283,2023-09-30,Basanti Bansal,2066546335,COMPS,9876529346,774,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,9,2023
284,2024-02-10,Hansini Malhotra,2082244160,EXTC,9876574607,484,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,2,2024
285,2021-03-16,Indraneel Som,2177672991,EXTC,9876526865,670,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,3,2021
286,2021-12-05,Nikhil Reddy,2859409657,EXTC,9876582354,611,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,12,2021
287,2022-07-09,Menaka Patil,2458013081,CSE-AIML,9876534565,411,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,7,2022
288,2020-01-03,Ravishankar Shrivastava,2403734458,CSE-DS,9876535059,1275,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,1,2020
289,2023-05-14,Nikita Desai,2861706724,COMPS,9876539256,1155,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,5,2023
290,2017-10-27,Jayshree Prajapati,2203216804,CSE-AIML,9876567458,157,Conference - Seminar - Workshops - Exhibition - Technical Festival,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,10,2017
291,2018-05-25,Anisha Maheshwari,2400017475,CSE-AIML,9876593555,1792,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2018
292,2018-05-12,Shivshankar Nahar,2958713347,EXTC,9876581599,1187,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,5,2018
293,2017-09-21,Vashishth Munda,2914682462,CSE-AIML,9876541210,1293,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,9,2017
294,2022-04-07,Chhaya Maheshwari,2658321146,COMPS,9876598394,614,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,4,2022
295,2023-07-19,Yogita Kashyap,2774669653,CSE-DS,9876538791,788,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,7,2023
296,2024-01-19,Subhadra Malode,2597875767,EXTC,9876561933,705,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,1,2024
297,2020-12-01,Parul Tanwar,2311822056,CSE-DS,9876510914,1421,External Technical Training Programs,Excellent performance in last semester.,excellent performance in last semester.,Positive,12,2020
298,2020-12-11,Hritik Mukherjee,2680136184,EXTC,9876590461,1742,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,12,2020
299,2019-08-24,Ram Rajpoot,2359639673,CSE-AIML,9876569026,1255,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,8,2019
300,2022-04-20,Rakhi Talwar,2523865978,CSE-DS,9876562749,683,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,4,2022
301,2023-12-17,Parthivi Malode,2021869006,CSE-AIML,9876586018,390,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,12,2023
302,2020-07-16,Smriti Chaurasiya,2022821860,CSE-DS,9876568453,995,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,7,2020
303,2021-07-08,Ashish Dave,2213300801,COMPS,9876561791,509,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,7,2021
304,2019-05-20,Shashikala Rajawat,2547263317,CSE-AIML,9876572883,900,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2019
305,2017-11-27,Kashinath Biswas,2242817383,EXTC,9876563584,590,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,11,2017
306,2022-05-29,Pinaka Vats,2033373924,CSE-DS,9876567041,1252,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2022
307,2021-07-27,Aman Mathur,2055931539,COMPS,9876562662,1409,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2021
308,2021-09-26,Rishu Thakkar,2257695208,CSE-AIML,9876513654,498,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2021
309,2018-10-07,Tulika Pawar,2096144767,CSE-AIML,9876591221,1308,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,10,2018
310,2018-09-16,Sheela Agnihotri,2877127221,CSE-DS,9876523031,1046,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,9,2018
311,2023-05-11,Indira Rawat,2237376915,COMPS,9876569900,1510,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,5,2023
312,2020-09-17,Shailesh Roy,2475881837,EXTC,9876561971,485,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,9,2020
313,2020-01-06,Tanu Chaturvedi,2946309153,CSE-AIML,9876519649,1456,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,1,2020
314,2023-01-01,Sharad Trivedi,2468437708,CSE-AIML,9876540045,418,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,1,2023
315,2024-03-14,Jagriti Sahay,2440307002,EXTC,9876520285,1410,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,3,2024
316,2018-11-18,Yogesh Talwar,2450156523,CSE-AIML,9876579729,447,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,11,2018
317,2021-11-06,Juhi Jindal,2998179498,CSE-DS,9876586534,727,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,11,2021
318,2023-12-24,Marutanjali Umrao,2570139803,EXTC,9876591378,187,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,12,2023
319,2024-01-30,Devashish Chopra,2340605139,CSE-AIML,9876584816,1030,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,1,2024
320,2020-05-20,Yogita Kamath,2514270409,CSE-AIML,9876580386,877,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,5,2020
321,2018-12-26,Rajeshwar Vishwakarma,2553607433,COMPS,9876510779,1359,External Technical Training Programs,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,12,2018
322,2021-12-15,Pankaj Sampla,2052205504,CSE-DS,9876595263,1131,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,12,2021
323,2019-11-26,Rishu Sonkar,2149344583,CSE-AIML,9876549352,690,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,11,2019
324,2021-01-02,Ujjwala Khaitan,2599226919,EXTC,9876562894,957,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,1,2021
325,2019-09-04,Archana Agnihotri,2234224207,EXTC,9876583393,1973,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2019
326,2018-01-27,Riddhi Phogat,2641032727,CSE-AIML,9876586335,1574,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,1,2018
327,2020-02-29,Vipin Puri,2716614902,CSE-DS,9876563047,1562,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,2,2020
328,2018-09-29,Dipanshi Saha,2668735419,CSE-DS,9876547543,1130,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2018
329,2024-03-27,Dilip Deo,2060702800,EXTC,9876515017,922,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,3,2024
330,2023-08-07,Harishchandra Ahale,2123217903,EXTC,9876571519,129,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,8,2023
331,2020-07-28,Niladri Kamat,2669429788,COMPS,9876524006,675,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2020
332,2022-09-17,Nupur Gujral,2704809823,CSE-DS,9876582915,1915,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,9,2022
333,2022-03-25,Babita Nag,2544706875,CSE-AIML,9876594167,1827,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,3,2022
334,2024-03-27,Abhijeet Kashyap,2116727507,EXTC,9876572337,1699,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,3,2024
335,2017-08-24,Dharam Kamath,2162713599,CSE-DS,9876563411,1327,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,8,2017
336,2020-04-11,Lalbahadur Nagar,2468198618,EXTC,9876599722,276,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,4,2020
337,2019-05-20,Pranay Dabral,2860905392,EXTC,9876557524,1694,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,5,2019
338,2023-05-10,Vishwas Shastry,2461653240,EXTC,9876516175,264,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,5,2023
339,2023-09-14,Ashu Joshi,2522186646,CSE-DS,9876557504,1329,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,9,2023
340,2021-09-02,Baldev Balyan,2123521225,CSE-AIML,9876515642,193,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,9,2021
341,2019-08-26,Jayesh Sampla,2113286257,CSE-AIML,9876577989,1597,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,8,2019
342,2019-12-21,Jyotiraditya Bhati,2601647051,EXTC,9876559693,399,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2019
343,2017-07-01,Kishan Sinha,2849069250,COMPS,9876570894,1887,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,7,2017
344,2020-02-14,Sujata Pawar,2784629193,COMPS,9876527629,1389,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,2,2020
345,2023-01-28,Mahalakshmi Tanwar,2574313928,COMPS,9876597230,698,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,1,2023
346,2020-02-02,Vikalp Khatri,2445638418,CSE-AIML,9876570429,1480,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,2,2020
347,2022-04-01,Ridheekaran Suryavanshi,2259573372,EXTC,9876580165,899,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,4,2022
348,2021-05-09,Vanshika Ahir,2447784664,COMPS,9876545484,1534,External Technical Training Programs,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,5,2021
349,2022-03-30,Nageena Shorey,2016792470,COMPS,9876540372,208,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,3,2022
350,2020-04-04,Nandan Sood,2550908856,COMPS,9876538255,1945,External Technical Training Programs,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,4,2020
351,2022-02-28,Krish Sarkar,2023446622,CSE-AIML,9876593792,321,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,2,2022
352,2018-12-15,Parth Runthla,2021561200,CSE-DS,9876559025,613,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,12,2018
353,2022-03-06,Govinda Javdekar,2704835935,CSE-AIML,9876545830,1876,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,3,2022
354,2020-11-09,Vibhor Govil,2725026097,COMPS,9876526195,1619,External Technical Training Programs,Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,11,2020
355,2023-06-26,Uma Bandopadhyay,2189363573,COMPS,9876526752,376,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,6,2023
356,2021-01-15,Sakshi Dholakia,2067469774,CSE-AIML,9876575954,766,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,1,2021
357,2020-09-30,Shivanshi Khaitan,2036625028,CSE-DS,9876560317,1375,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2020
358,2023-03-18,Arpita Rathore,2520522950,CSE-AIML,9876511112,1877,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,3,2023
359,2021-05-29,Jeevika Valmiki,2356059202,EXTC,9876574730,1484,"Membership - IET, IEEE, CSI, ASM",Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,5,2021
360,2023-03-29,Chandrashekhar Agnihotri,2930377253,EXTC,9876570612,1212,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,3,2023
361,2024-04-18,Shakumbhari Khattar,2632009280,EXTC,9876529002,1848,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,4,2024
362,2021-02-26,Tejasvi Scindia,2733882046,CSE-DS,9876594896,214,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,2,2021
363,2021-06-26,Markandeya Kaushik,2488137730,CSE-AIML,9876513033,1352,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,6,2021
364,2019-07-02,Srishti Menon,2539207237,COMPS,9876558938,1156,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,7,2019
365,2017-04-10,Prayag Biswas,2122206211,CSE-AIML,9876571174,1992,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,4,2017
366,2023-04-21,Supriya Yadav,2190418771,CSE-DS,9876537815,1521,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,4,2023
367,2020-05-22,Sarika Jhunjhunwala,2033707921,CSE-DS,9876580237,365,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,5,2020
368,2022-06-07,Vilasrao Dhanuka,2432288498,CSE-AIML,9876557856,238,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,6,2022
369,2021-06-10,Deepshikha Biswas,2112605329,CSE-DS,9876581899,1016,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,6,2021
370,2018-07-10,Triveni Priyadarshini,2986605330,CSE-DS,9876518868,1740,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,7,2018
371,2022-06-09,Anushree Narula,2787287215,CSE-DS,9876510773,1635,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,6,2022
372,2018-11-14,Vinay Khatri,2216030641,COMPS,9876585362,408,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,11,2018
373,2018-11-20,Uma Nautiyal,2760907363,CSE-DS,9876511287,1436,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,11,2018
374,2023-01-27,Disha Jain,2676818150,CSE-AIML,9876547724,482,"Membership - IET, IEEE, CSI, ASM",Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,1,2023
375,2023-12-06,Mona Malode,2380312657,CSE-DS,9876585462,422,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2023
376,2017-04-20,Himanshu Bindra,2178018785,CSE-AIML,9876556281,1275,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,4,2017
377,2017-11-05,Surekha Mohapatra,2649710642,CSE-DS,9876595017,182,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,11,2017
378,2020-08-12,Saurabh Bind,2315466747,CSE-AIML,9876580675,141,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,8,2020
379,2021-02-24,Sunanda Balyan,2773524938,EXTC,9876580566,686,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,2,2021
380,2020-10-27,Kaavya Tendulkar,2705292303,EXTC,9876594558,1312,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,10,2020
381,2021-11-21,Kanaklata Thakkar,2233159582,CSE-AIML,9876531071,1476,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,11,2021
382,2023-01-17,Bhuwaneshwar Bose,2041166407,COMPS,9876523641,1336,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,1,2023
383,2019-08-09,Avnish Kakkar,2416835575,CSE-AIML,9876528933,106,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,8,2019
384,2023-11-23,Pratigya Saxena,2787127174,CSE-AIML,9876568970,1828,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,11,2023
385,2017-09-01,Ritesh Parekh,2532561498,CSE-AIML,9876538127,899,External Technical Training Programs,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,9,2017
386,2023-02-06,Harshad Anand,2611901061,CSE-AIML,9876595601,1605,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,2,2023
387,2018-05-24,Paankhi Maali,2544031669,CSE-DS,9876574460,1235,Conference - Seminar - Workshops - Exhibition - Technical Festival,Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,5,2018
388,2022-12-09,Prashansa Tata,2808702728,EXTC,9876570672,1097,External Technical Training Programs,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,12,2022
389,2022-09-19,Tripti Pradhan,2508221499,CSE-DS,9876555206,1270,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,9,2022
390,2018-09-08,Pramod Jalan,2252303108,CSE-AIML,9876571154,125,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,9,2018
391,2023-11-02,Abhigyan Patnaik,2203591858,CSE-DS,9876584462,1158,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,11,2023
392,2020-12-12,Akshay Dixit,2177280826,EXTC,9876582871,1391,External Technical Training Programs,Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,12,2020
393,2021-06-28,Avichal Kothari,2690419920,CSE-AIML,9876517970,526,"Membership - IET, IEEE, CSI, ASM",Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,6,2021
394,2021-09-08,Vandana Sharma,2585413983,EXTC,9876538332,1247,Conference - Seminar - Workshops - Exhibition - Technical Festival,Top scorer in the recent quiz competition.,top scorer in the recent quiz competition.,Positive,9,2021
395,2022-09-10,Mala Ambedkar,2761388277,CSE-AIML,9876577236,1649,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,9,2022
396,2023-03-18,Mohan Paswan,2699773571,COMPS,9876546421,1375,"Membership - IET, IEEE, CSI, ASM",Consistent attendance throughout the academic year.,consistent attendance throughout the academic year.,Neutral,3,2023
397,2019-05-30,Mahavir Prakash,2506689043,CSE-AIML,9876586960,1597,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,5,2019
398,2022-07-20,Divyanshu Gunji,2237930929,EXTC,9876515621,1528,"Membership - IET, IEEE, CSI, ASM",Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,7,2022
399,2023-09-10,Kriti Mandal,2571335569,CSE-AIML,9876566890,908,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,9,2023
400,2021-07-04,Rajat Nahar,2994730791,EXTC,9876594079,195,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,7,2021
401,2022-08-21,Nisha Didwania,2016787697,CSE-AIML,9876522723,885,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2022
402,2023-11-17,Seema Malhotra,2702456577,EXTC,9876568254,1697,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,11,2023
403,2023-10-12,Indrani Malode,2946651683,CSE-AIML,9876548625,899,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated dedication and commitment to academic excellence.,demonstrated dedication and commitment to academic excellence.,Positive,10,2023
404,2022-08-02,Babloo Pawar,2657508691,CSE-DS,9876583554,214,"Membership - IET, IEEE, CSI, ASM",Excellent performance in last semester.,excellent performance in last semester.,Positive,8,2022
405,2021-04-17,Nikita Vyas,2623066760,CSE-DS,9876572167,172,Conference - Seminar - Workshops - Exhibition - Technical Festival,Excellent performance in last semester.,excellent performance in last semester.,Positive,4,2021
406,2020-05-31,Ramesh Kulkarni,2911460215,CSE-AIML,9876530800,241,Conference - Seminar - Workshops - Exhibition - Technical Festival,Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,5,2020
407,2020-09-03,Mihika Raje,2076443345,CSE-DS,9876572213,1196,Conference - Seminar - Workshops - Exhibition - Technical Festival,Well-prepared and actively engaged during class discussions.,well-prepared and actively engaged during class discussions.,Positive,9,2020
408,2017-10-13,Vidur Sawant,2045320022,COMPS,9876538894,370,Conference - Seminar - Workshops - Exhibition - Technical Festival,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,10,2017
409,2018-08-08,Anokhi Shukla,2830374074,CSE-AIML,9876550153,128,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,8,2018
410,2018-09-29,Abhishek Gehlot,2163566288,COMPS,9876581690,1983,"Membership - IET, IEEE, CSI, ASM",Strong potential for future academic and professional success.,strong potential for future academic and professional success.,Positive,9,2018
411,2020-02-07,Harinakshi Valmiki,2537583647,CSE-AIML,9876569329,828,External Technical Training Programs,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,2,2020
412,2020-10-28,Kanchan Desai,2808374887,COMPS,9876512932,1044,"Membership - IET, IEEE, CSI, ASM",Received special recognition for outstanding project work.,received special recognition for outstanding project work.,Positive,10,2020
413,2023-08-19,Pranav Bendre,2632879983,CSE-DS,9876580274,1747,Conference - Seminar - Workshops - Exhibition - Technical Festival,Demonstrated strong leadership skills in group projects.,demonstrated strong leadership skills in group projects.,Positive,8,2023
414,2019-03-24,Yogesh Baghel,2314310375,CSE-DS,9876543554,1417,External Technical Training Programs,Active participant in extracurricular activities.,active participant in extracurricular activities.,Positive,3,2019
415,2021-04-02,Vipin Bindra,2520609011,CSE-AIML,9876527374,1630,"Membership - IET, IEEE, CSI, ASM",Received positive feedback from mentors and instructors.,received positive feedback from mentors and instructors.,Positive,4,2021
